Кол-во согласных в названии =2  Это дерево, ему 101 лет, Его название: Дуб
Кол-во согласных в названии =3  Это кустарник, месяц цветения - февраль, Его название: Малина
Кол-во согласных в названии =3  Это дерево, ему 21 лет, Его название: Берёза
Кол-во согласных в названии =3  Это дерево, ему 50 лет, Его название: Клён
Кол-во согласных в названии =4  Это кустарник, месяц цветения - май, Его название: Крапива
Кол-во согласных в названии =3  Это дерево, ему 44 лет, Его название: Ясень
Кол-во согласных в названии =4  Это дерево, ему 14 лет, Его название: Пальма
Кол-во согласных в названии =5  Это кустарник, месяц цветения - ноябрь, Его название: Репейник
Кол-во согласных в названии =4  Это дерево, ему 35 лет, Его название: Кактус
Кол-во согласных в названии =5  Это кустарник, месяц цветения - сентябрь, Его название: Шиповник
Кол-во согласных в названии =4  Это кустарник, месяц цветения - октябрь, Его название: Кактус
Кол-во согласных в названии =3  Это дерево, ему 50 лет, Его название: Рябина
Кол-во согласных в названии =3  Это дерево, ему 60 лет, Его название: Кедр
Кол-во согласных в названии =5  Это кустарник, месяц цветения - январь, Его название: Ползунок
---------------
Кол-во согласных в названии =2  Это дерево, ему 101 лет, Его название: Дуб
Кол-во согласных в названии =3  Это дерево, ему 60 лет, Его название: Кедр
Кол-во согласных в названии =3  Это дерево, ему 44 лет, Его название: Ясень
Кол-во согласных в названии =3  Это дерево, ему 50 лет, Его название: Рябина
Кол-во согласных в названии =3  Это кустарник, месяц цветения - февраль, Его название: Малина
Кол-во согласных в названии =3  Это дерево, ему 21 лет, Его название: Берёза
Кол-во согласных в названии =3  Это дерево, ему 50 лет, Его название: Клён
Кол-во согласных в названии =4  Это кустарник, месяц цветения - октябрь, Его название: Кактус
Кол-во согласных в названии =4  Это дерево, ему 14 лет, Его название: Пальма
Кол-во согласных в названии =4  Это кустарник, месяц цветения - май, Его название: Крапива
Кол-во согласных в названии =4  Это дерево, ему 35 лет, Его название: Кактус
Кол-во согласных в названии =5  Это кустарник, месяц цветения - январь, Его название: Ползунок
Кол-во согласных в названии =5  Это кустарник, месяц цветения - ноябрь, Его название: Репейник
Кол-во согласных в названии =5  Это кустарник, месяц цветения - сентябрь, Его название: Шиповник
